activity,wrist,precision,recall,f1,accuracy,num_windows
Free_Hendrik,right,0,0,0,0.657200094,8486
Free_Hendrik,left,0,0,0,0.729790243,8486
Stairs_pockets_Hendrik,right,1,0.909774436,0.952755906,0.909774436,133
Stairs_pockets_Hendrik,left,1,0.909774436,0.952755906,0.909774436,133
Stairs_pockets_Tanya,right,1,0.951219512,0.975,0.951219512,123
Stairs_pockets_Tanya,left,1,0.959349593,0.979253112,0.959349593,123
Stairs_railL_Hendrik,right,1,0.975609756,0.987654321,0.975609756,123
Stairs_railL_Hendrik,left,1,0.227642276,0.370860927,0.227642276,123
Stairs_railL_Tanya,right,1,0.824858757,0.904024768,0.824858757,177
Stairs_railL_Tanya,left,1,0.11299435,0.203045685,0.11299435,177
Stairs_railR_Hendrik,right,1,0.263157895,0.416666667,0.263157895,133
Stairs_railR_Hendrik,left,1,0.939849624,0.968992248,0.939849624,133
Stairs_railR_Tanya,right,1,0.282352941,0.440366972,0.282352941,170
Stairs_railR_Tanya,left,1,0.917647059,0.957055215,0.917647059,170
Walking_armfixedL_Hendrik,right,1,0.923611111,0.960288809,0.923611111,144
Walking_armfixedL_Hendrik,left,1,0.923611111,0.960288809,0.923611111,144
Walking_armfixedL_Tanya,right,1,0.666666667,0.8,0.666666667,156
Walking_armfixedL_Tanya,left,1,0.948717949,0.973684211,0.948717949,156
Walking_armfixedR_Hendrik,right,1,0.721854305,0.838461538,0.721854305,151
Walking_armfixedR_Hendrik,left,1,0.966887417,0.983164983,0.966887417,151
Walking_armfixedR_Tanya,right,1,0.925465839,0.961290323,0.925465839,161
Walking_armfixedR_Tanya,left,1,0.689440994,0.816176471,0.689440994,161
Walking_limpL_Hendrik,right,1,0.801242236,0.889655172,0.801242236,161
Walking_limpL_Hendrik,left,1,0.850931677,0.919463087,0.850931677,161
Walking_limpL_Tanya,right,1,0.897590361,0.946031746,0.897590361,166
Walking_limpL_Tanya,left,1,0.981927711,0.990881459,0.981927711,166
Walking_limpR_Hendrik,right,1,0.966216216,0.982817869,0.966216216,148
Walking_limpR_Hendrik,left,1,1,1,1,148
Walking_limpR_Tanya,right,1,0.877192982,0.934579439,0.877192982,171
Walking_limpR_Tanya,left,1,0.403508772,0.575,0.403508772,171
Walking_phoneB_Hendrik,right,1,0.974789916,0.987234043,0.974789916,119
Walking_phoneB_Hendrik,left,1,0.932773109,0.965217391,0.932773109,119
Walking_phoneB_Tanya,right,1,0.963963964,0.981651376,0.963963964,111
Walking_phoneB_Tanya,left,1,0.846846847,0.917073171,0.846846847,111
Walking_phoneL_Hendrik,right,1,0.960629921,0.979919679,0.960629921,127
Walking_phoneL_Hendrik,left,1,0.88976378,0.941666667,0.88976378,127
Walking_phoneL_Tanya,right,1,0.92920354,0.963302752,0.92920354,113
Walking_phoneL_Tanya,left,1,0.973451327,0.986547085,0.973451327,113
Walking_phoneR_Hendrik,right,1,0.955555556,0.977272727,0.955555556,135
Walking_phoneR_Hendrik,left,1,0.985185185,0.992537313,0.985185185,135
Walking_phoneR_Tanya,right,1,0.716814159,0.835051546,0.716814159,113
Walking_phoneR_Tanya,left,1,0.89380531,0.943925234,0.89380531,113
Walking_pockets_Hendrik,right,1,0.970149254,0.984848485,0.970149254,134
Walking_pockets_Hendrik,left,1,0.992537313,0.996254682,0.992537313,134
Walking_pockets_Tanya,right,1,0.981818182,0.990825688,0.981818182,110
Walking_pockets_Tanya,left,1,1,1,1,110
Laptop_Hendrik,right,0,0,0,0.850746269,134
Laptop_Hendrik,left,0,0,0,0.492537313,134
Laptop_tanya,right,0,0,0,0.765363128,179
Laptop_tanya,left,0,0,0,0.396648045,179
Stairs_Hendrik,right,1,0.97826087,0.989010989,0.97826087,138
Stairs_Hendrik,left,1,0.956521739,0.977777778,0.956521739,138
Stairs_tanya,right,1,0.790055249,0.882716049,0.790055249,181
Stairs_tanya,left,1,0.91160221,0.953757225,0.91160221,181
Standing_Hendrik,right,0,0,0,0.704545455,132
Standing_Hendrik,left,0,0,0,0.507575758,132
Standing_tanya,right,0,0,0,0.345454545,110
Standing_tanya,left,0,0,0,0.309090909,110
Walking_Hendrik,right,1,1,1,1,85
Walking_Hendrik,left,1,0.952941176,0.975903614,0.952941176,85
Walking_Tanya,right,1,0.825688073,0.904522613,0.825688073,109
Walking_Tanya,left,1,0.385321101,0.556291391,0.385321101,109
