Subject,Wrist,Duration_sec,NumWindows,Accuracy,Precision,Recall,F1
NLS035_FreeWalk,left,169.00940979955456,170,0.5705882352941176,0.8829787234042553,0.5724137931034483,0.694560669456067
NLS188_FreeWalk,left,189.01262735927844,190,0.8736842105263158,0.9387755102040817,0.9019607843137255,0.92
NLS190_FreeWalk,left,175.00314013996055,176,0.9034090909090909,0.8896103896103896,1.0,0.9415807560137457
NLS192_FreeWalk,left,184.0,185,0.7783783783783784,0.8652482269503546,0.8472222222222222,0.856140350877193
NLS194_FreeWalk,left,186.01580557443916,187,0.8983957219251337,0.891566265060241,0.9932885906040269,0.9396825396825397
NLS195_FreeWalk,left,177.00315058739764,178,0.6797752808988764,0.9157894736842105,0.6397058823529411,0.7532467532467533
NLS197_FreeWalk,left,168.0125232948192,169,0.8520710059171598,0.8571428571428571,0.95,0.9011857707509882
NLS211_FreeWalk,left,197.02211353431687,198,0.9141414141414141,1.0,0.8975903614457831,0.946031746031746
WPD011_FreeWalk,left,189.0253223915592,190,0.8894736842105263,0.8857142857142857,0.9117647058823529,0.8985507246376812
WPD013_Freewalk,left,149.009335839599,150,0.7733333333333333,0.7647058823529411,0.9381443298969072,0.8425925925925926
WPD015_FreeWalk,left,140.02480070859167,141,0.8014184397163121,0.7708333333333334,0.925,0.8409090909090909
WPD017_FreeWalk,left,159.0,160,0.875,0.8725490196078431,0.9270833333333334,0.898989898989899
WPD019_FreeWalk,left,188.01262380392816,189,0.5238095238095238,0.62,0.30392156862745096,0.40789473684210525
WPD020_FreeWalk,left,195.02848101265826,196,0.9183673469387755,0.8490566037735849,1.0,0.9183673469387755
WPD021_FreeWalk,left,164.00313156387244,165,0.8363636363636363,0.6962025316455697,0.9482758620689655,0.8029197080291971
WPD022_FreeWalk,left,147.01553254437871,148,0.8513513513513513,0.8111111111111111,0.9358974358974359,0.8690476190476191
WPD026_FreeWalk,left,175.02836304700162,176,0.9147727272727273,0.8636363636363636,1.0,0.926829268292683
WPD027_FreeWalk,left,172.01570489408329,173,0.9132947976878613,0.8584905660377359,1.0,0.9238578680203046
